Store_Name,Longitude,Latitude,Address,Address2,City,State,Zip5,Zip4,County,Type
Aldi 46,-96.184288,41.291058,17240 Evans St,,Omaha,NE,68116,,DOUGLAS ,Supermarket
Aldi 48,-96.023872,41.252014,885 S 72nd St,,Omaha,NE,68114,4631,DOUGLAS ,Supermarket
Aldi Inc 40,-95.94352,41.159267,2112 Cornhusker Rd,,Bellevue,NE,68123,4420,SARPY ,Supermarket
Aldi Inc 41,-95.958397,41.214039,4525 Dahlman Ave,,Omaha,NE,68107,1508,DOUGLAS ,Supermarket
Aldi Inc 42,-96.121597,41.23579,2502 S 133rd Plz,,Omaha,NE,68144,2514,DOUGLAS ,Supermarket
Aldi Inc 43,-95.956505,41.302319,4801 N 30th St,,Omaha,NE,68111,,DOUGLAS ,Supermarket
Aldi Inc 75,-96.05275,41.290539,3433 N 90th St,,Omaha,NE,68134,4711,DOUGLAS ,Supermarket
Bakers Supermarket 300,-95.968262,41.140926,3614 Twin Creek Dr,,Bellevue,NE,68123,4065,SARPY ,Supermarket
Bakers Supermarket 301,-96.023735,41.298538,4405 N 72nd St,,Omaha,NE,68134,2350,DOUGLAS ,Supermarket
Bakers Supermarket 302,-96.101639,41.233952,12025 W Center Rd,,Omaha,NE,68144,3953,DOUGLAS ,Supermarket
Bakers Supermarket 311,-96.052452,41.310314,5555 N 90th St,Ste 1,Omaha,NE,68134,1817,DOUGLAS ,Supermarket
Bakers Supermarket 315,-96.119888,41.29229,13250 W Maple Rd,Ste A,Omaha,NE,68164,2402,DOUGLAS ,Supermarket
Bakers Supermarket 316,-95.957733,41.326519,7312 N 30th St,,Omaha,NE,68112,2821,DOUGLAS ,Supermarket
Bakers Supermarket 318,-95.917679,41.152512,801 Galvin Rd S,,Bellevue,NE,68005,2203,SARPY ,Supermarket
Bakers Supermarket 319,-95.986488,41.250679,888 S Saddle Creek Rd,,Omaha,NE,68106,1959,DOUGLAS ,Supermarket
Bakers Supermarket 320,-96.186447,41.235588,17370 Lakeside Hills Plz,,Omaha,NE,68130,2352,DOUGLAS ,Supermarket
Bakers Supermarket 321,-96.155693,41.263538,505 N 155th Plz,,Omaha,NE,68154,3775,DOUGLAS ,Supermarket
Benson Farmers Market Inc,-95.995026,41.297562,4343 N 52nd St,,Omaha,NE,68104,2895,DOUGLAS ,Farmers Market
Family Fare 774,-96.081528,41.206291,5110 S 108th St,,Omaha,NE,68137,2360,DOUGLAS ,Supermarket
Family Fare 776,-95.995949,41.190704,5101 Harrison St,,Omaha,NE,68157,2173,SARPY ,Supermarket
Family Fare 779,-95.990913,41.226917,5019 Grover St,,Omaha,NE,68106,3830,DOUGLAS ,Supermarket
Family Fare 780,-96.052734,41.283699,2650 N 90th St,,Omaha,NE,68134,5704,DOUGLAS ,Supermarket
Family Fare 784,-96.140694,41.233936,14444 W Center Rd,,Omaha,NE,68144,3217,DOUGLAS ,Supermarket
Family Fare 785,-96.081398,41.286022,3003 N 108th St,,Omaha,NE,68164,3711,DOUGLAS ,Supermarket
Family Fare 788,-95.913605,41.140358,1510 Harlan Dr,,Bellevue,NE,68005,3690,SARPY ,Supermarket
Family Fare 795,-95.957985,41.327541,7402 N 30th St,,Omaha,NE,68112,2722,DOUGLAS ,Supermarket
Family Fare 797,-95.980843,41.26656,820 N Saddle Creek Rd,,Omaha,NE,68132,2520,DOUGLAS ,Supermarket
Family Fare 799,-96.043198,41.175571,1230 N Washington St,,Papillion,NE,68046,3064,SARPY ,Supermarket
Family Fare 800,-95.947121,41.231483,3026 S 24th St,Ste 2,Omaha,NE,68108,1863,DOUGLAS ,Supermarket
Family Fare 811,-96.233337,41.225033,1221 S 203rd St,,Omaha,NE,68130,2808,DOUGLAS ,Supermarket
Fareway Stores Inc 043,-96.180779,41.189445,17070 Audrey St,,Omaha,NE,68136,3181,SARPY ,Supermarket
Fareway Stores Inc 049,-96.027222,41.175007,1325 Jersey St,,Papillion,NE,68046,7109,SARPY ,Supermarket
Fareway Stores Inc 132,-96.052765,41.286934,3070 N 90th St,,Omaha,NE,68134,4785,DOUGLAS ,Supermarket
