,OBJECTID,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Shape_Length,Shape_Area,GEOID_Data,Aldi 46,Aldi 48,Aldi Inc 40,Aldi Inc 41,Aldi Inc 42,Aldi Inc 43,Aldi Inc 75,Bakers Supermarket 300,Bakers Supermarket 301,Bakers Supermarket 302,Bakers Supermarket 311,Bakers Supermarket 315,Bakers Supermarket 316,Bakers Supermarket 318,Bakers Supermarket 319,Bakers Supermarket 320,Bakers Supermarket 321,Benson Farmers Market Inc,Family Fare 774,Family Fare 776,Family Fare 779,Family Fare 780,Family Fare 784,Family Fare 785,Family Fare 788,Family Fare 795,Family Fare 797,Family Fare 799,Family Fare 800,Family Fare 811,Fareway Stores Inc 043,Fareway Stores Inc 049,Fareway Stores Inc 132,Fresh Thyme Farmers Market 903GHK,Fresh Thyme Farmers Market 904LAK,Fresh Thyme Farmers Market 905MIL,Huffman Produce,Hy-Vee 11 1478,Hy-Vee Food Store 1465,Hy-Vee Food Store 1466,Hy-Vee Food Store 1467,Hy-Vee Food Store 1469,Hy-Vee Food Store 1470,Hy-Vee Food Store 1471,Hy-Vee Food Store 1472,Hy-Vee Food Store 1474,Hy-Vee Food Store 1514,Hy-Vee Food Store 1535,Mary's Fruit & Vegetables,Nelson Produce,Omaha Farmers Market,Target 0532,Target Stores T- 0530,Target Stores T- 1537,Target Stores T- 1777,Target Stores T- 2010,Target Stores T- 2125,Target Stores T- 2326,Target Stores T- 2383,Trader Joe's 719,Vitamin Cottage Natural Food Market 1,Vitamin Cottage Natural Food Market 2,Walmart Neighborhood Market 3152,Walmart Neighborhood Market 3153,Walmart Neighborhood Market 3154,Walmart Neighborhood Market 3172,Walmart Neighborhood Market 3173,Walmart Neighborhood Market 4138,Walmart NEIGHBORHOOD MARKET 4139,Walmart SC 1637,Walmart SC 1671,Walmart SC 2847,Walmart SC 3267,Walmart SC 4358,Walmart SC 4600,Walmart SC 5141,Walmart SC 5361,Walmart SuperCenter 3151,Whole Foods Market,Wohlners Midtown Grocery And Deli LLC,Min Distance
0,26,31,55,7451,2,3.11E+11,Block Group 2,G5030,S,396034,0,41.2307663,-96.1721969,0.030389178,4.25E-05,15000US310550074512,4.209890665,7.839197659,12.86563624,11.16314543,2.650158336,12.23565917,7.447630404,12.27887222,9.014655926,3.670313062,8.293464607,5.041390934,12.94388819,14.28526907,9.739225392,0.811371736,2.419504062,10.28688141,5.003020562,9.563457335,9.417415628,7.197668636,1.650362367,6.063519692,14.81614191,12.96878846,10.23637717,7.709103754,11.68737997,3.19949701,2.887653975,8.458186318,7.31212192,4.356367285,0.958445227,2.666013587,12.2568684,1.681210265,9.332852303,2.605507141,6.992590472,6.294138703,7.33504677,3.681600182,2.067766179,4.080583261,10.04896117,5.917064918,12.40669431,3.933315694,12.6568624,8.101762557,5.185241225,12.28285123,1.161298119,9.841078686,7.919540205,4.18885838,3.474916431,5.275181143,0.959956649,7.363928985,7.128157116,2.659430521,14.265674,9.450938255,6.925184629,5.062028495,10.19362887,8.029455862,8.715695322,13.31250045,1.339277531,7.752755553,6.148722486,4.263749101,3.279783287,10.51661039,5.707225628,11.14575635,0.811371736
1,27,31,55,7445,2,3.11E+11,Block Group 2,G5030,S,784062,0,41.2700437,-96.0789243,0.042934449,8.43E-05,15000US310550074452,5.656234438,3.116736903,10.39042182,7.355829696,3.240380793,6.730976833,1.961366347,10.60762439,3.474168223,2.756837357,3.101150221,2.622372024,7.397637738,11.66189304,4.980517064,6.067229554,4.009353356,4.749580398,4.403894884,6.969431957,5.453539885,1.654033363,4.061592803,1.1106672,12.40672679,7.423983669,5.095746593,6.78162436,7.34172124,8.597364465,7.67739339,7.089927516,1.789536448,3.824635158,6.239462261,3.312595976,10.5574501,6.063380438,4.881868632,5.947356829,2.54294448,2.869634364,2.187533172,2.120607449,7.454665355,4.31913551,9.647760503,4.541237374,7.901383198,3.859423292,7.775880625,7.493331394,2.546482735,10.60431349,6.465992207,4.458607169,2.910790228,5.451360441,4.216975001,1.504052309,6.343432487,2.356768145,1.578620792,7.34685164,12.6992205,6.01902124,6.542176145,2.529311527,5.131706856,3.215376358,7.252285468,10.7813091,6.676905152,3.353690842,9.894871398,5.471178369,4.342350594,4.976724996,0.801284542,6.162477278,0.801284542
2,39,31,55,7102,4,3.11E+11,Block Group 4,G5030,S,1138677,5013,41.1986908,-95.9834123,0.048827425,0.00012277,15000US310550071024,12.22397104,4.239056375,3.421571297,1.676763928,7.62031476,7.290093339,7.292091935,4.065372228,7.204754018,6.605463255,8.499486799,9.5897399,8.925989241,4.672923106,3.593088863,10.84839135,10.00374947,6.853155146,5.12392267,0.853431123,1.98744322,6.884987944,8.523618963,7.889064919,5.42084604,8.993838635,4.687942888,3.492657804,2.946062316,13.10818964,10.27410864,2.802864566,7.07713874,10.62454729,11.00690275,7.551893399,4.000178394,11.41827924,2.983699975,8.362940425,9.079230164,4.282362443,5.281451414,8.475286095,10.97455483,11.01086945,4.820053721,4.180794708,3.684836908,6.123323924,4.745345476,3.882032625,9.528039128,4.056641664,11.21352651,8.618858221,4.720958267,12.04493642,6.622262668,5.809457617,11.0088335,5.008992535,6.742710394,9.993307079,6.004851752,1.048872929,4.278846369,9.500047136,4.428576063,9.154098042,2.644125532,3.796713822,11.38567941,3.798975064,10.18346925,12.08429408,6.838579821,6.984485894,6.199491022,4.371242623,0.853431123
3,40,31,55,6703,2,3.11E+11,Block Group 2,G5030,S,522832,0,41.2601617,-96.0960888,0.030609016,5.62E-05,15000US310550067032,5.049453736,3.790471525,10.55143769,7.826321849,2.141294137,7.805495303,3.075158834,10.5770762,4.595152538,1.832448717,4.137214428,2.538890365,8.515092868,11.87996029,5.726561126,4.988160734,3.102320212,5.845281492,3.795578215,7.074045954,5.92316161,2.775396031,2.939534925,1.941464964,12.58158741,8.542253511,5.997586991,6.45431746,7.983028717,7.526985661,6.571381486,6.881983337,2.910534797,3.399170363,5.161974175,2.222885342,10.53253065,5.059720416,5.507781076,4.890140884,3.285870864,2.947864184,3.037507068,1.290797872,6.332793435,3.789550149,9.313005306,4.149727139,8.6027336,3.037854579,8.603297937,7.128835068,2.53441134,10.57541009,5.390253756,5.558115597,3.712363415,4.858946446,3.299944069,1.41978952,5.258512723,3.136620795,2.694779147,6.242655025,12.67899679,6.334680378,6.079799648,2.46586229,6.001243792,4.128959218,7.074630023,10.96306871,5.600767667,3.896070916,8.899157107,4.891844732,3.392392361,6.074768753,1.368477007,7.012471487,1.290797872
4,41,31,55,3600,2,3.11E+11,Block Group 2,G5030,S,341727,0,41.24605,-96.0013741,0.024504961,3.67E-05,15000US310550036002,9.988258664,1.238373416,6.703441511,3.140912988,6.281822889,4.529369701,4.067483231,7.459405193,3.805284186,5.272234141,5.168408909,6.929645028,5.999641848,7.785624719,0.836256938,9.635771812,8.100746638,3.571881152,4.986118333,3.831750278,1.428346352,3.723222546,7.281533056,4.986494113,8.605157269,6.060171398,1.772307992,5.329135359,2.990992849,12.13117878,10.10415032,5.085603447,3.883523086,8.177423131,9.809638187,6.268073525,7.395286571,9.928464333,0.544788036,8.096446848,5.96176359,2.70760435,2.233586031,6.291606299,10.40200115,8.664498913,7.675794622,4.276462578,3.590783244,5.470331741,3.727740283,6.007618862,6.829934089,7.451164389,10.03686944,5.221169902,1.527194419,9.787034391,6.04403886,3.744347655,9.86414923,2.013038231,3.604527463,9.777918114,9.398035231,2.369143296,5.70151305,6.833798649,1.583945275,5.873523916,5.091132628,7.022889334,10.23732791,1.179368393,11.10424064,9.810445613,6.267463418,3.737446633,3.690107697,2.299073554,0.544788036
5,42,31,55,2700,1,3.11E+11,Block Group 1,G5030,S,348964,0,41.2086574,-95.9442959,0.027517104,3.75E-05,15000US310550027001,13.69586008,5.102528822,3.410409625,0.82129604,9.396420699,6.497863867,7.978671884,4.839554232,7.450891411,8.355966732,8.987672808,10.7902171,8.167604555,4.115942532,3.635680066,12.71237499,11.61181892,6.679431418,7.130354999,2.955904591,2.729713209,7.650897394,10.34794289,8.898904099,4.978192866,8.239030203,4.425370108,5.623561766,1.582813592,15.05452102,12.35703386,4.895124233,7.804950978,11.96735839,12.87696078,9.343835352,4.768487662,13.19973816,3.387535695,10.41397727,9.887736064,5.817437755,6.148089709,9.933965509,12.99557812,12.41428536,6.524364415,6.191593095,2.006228177,8.050778596,3.260329105,5.957960544,10.70199321,4.825956122,13.09152668,8.714087237,5.456395898,13.50392738,8.581251042,7.251550349,12.89400925,5.9086964,7.53459194,12.06775815,6.310736036,2.483921328,6.422969357,10.69567845,4.184289061,9.735134048,4.707322579,3.575519497,13.27332783,4.821056214,12.32481754,13.53507034,8.804380202,6.744183648,7.439182749,3.630000508,0.82129604
6,43,31,55,5901,3,3.11E+11,Block Group 3,G5030,S,244809,0,41.2904902,-95.9757737,0.02175639,2.63E-05,15000US310550059013,10.81748556,3.645217067,9.213857887,5.355103819,8.458327857,1.290785306,3.99343511,10.33406108,2.549313884,7.610072345,4.206295798,7.477400472,2.657765234,9.99306609,2.804444017,11.57252884,9.519578123,1.111699562,7.996050837,6.968930596,4.459206956,4.020251498,9.408167598,5.488522866,10.85717177,2.719461002,1.673072528,8.672657725,4.337096337,14.11204004,12.72640549,8.409177923,4.001861969,8.891496338,11.74659685,8.488504732,10.26516584,11.59767302,3.512057089,10.78027589,5.679141375,5.51399787,3.720114539,7.64044928,12.76531544,9.468871106,10.94837681,7.435174205,4.326876564,8.197115441,3.408708597,9.349660332,7.327374427,10.32337876,11.97508505,3.215406969,3.307907832,10.60376292,8.741571737,5.832681184,11.84058107,3.766177045,4.030390074,12.3909461,12.08223221,5.44949352,9.01899516,7.386728535,1.928051539,5.013749795,8.39729005,9.432229156,12.18549362,4.044656977,14.17947249,10.60348143,8.944547471,1.032057052,5.291203811,2.259438118,1.032057052
7,44,31,55,6303,1,3.11E+11,Block Group 1,G5030,S,483839,0,41.2964974,-96.0087013,0.033650216,5.20E-05,15000US310550063031,9.116499591,3.170650888,10.06152233,6.263573083,7.204018443,2.737183482,2.32182414,10.94486381,0.792471095,6.474094294,2.46164655,5.775193988,3.359142941,11.00804374,3.367002621,10.13809435,7.959236118,0.713184642,7.285847109,7.334470262,4.89210172,2.449335093,8.09844598,3.840099341,11.8581609,3.392982228,2.5222936,8.539349954,5.510443295,12.66026343,11.59500456,8.443272962,2.379384209,7.192924981,10.30940089,7.253385647,10.87955076,10.07359081,3.89736197,9.726070428,3.923268175,4.833975074,2.738569619,6.11195794,11.49228666,7.777197722,11.0922222,6.906563994,5.694189819,7.257948132,4.978719618,9.259757378,5.620470357,10.93609414,10.53477925,1.79012815,2.673426895,8.902719005,7.759562494,4.710549882,10.41647044,2.901893374,2.500780814,11.2595977,12.83949958,5.865666801,8.716721565,5.686972588,2.748481076,3.274114175,8.486108708,10.33826987,10.74566236,3.678929991,13.38568618,8.899054182,7.94139551,0.919832548,4.016379313,3.547058611,0.713184642
8,45,31,55,5000,5,3.11E+11,Block Group 5,G5030,S,174829,0,41.2618269,-95.9726787,0.017780726,1.88E-05,15000US310550050005,11.16433409,2.742229677,7.241431019,3.381821418,7.936904405,2.919014035,4.603620823,8.350782578,3.666451185,6.965828126,5.323308588,7.922898946,4.533470816,8.070288024,1.051776329,11.24404211,9.499334456,2.726223531,6.829838027,5.057195358,2.589589596,4.420270161,8.932174215,5.883793121,8.930685318,4.600826374,0.535106842,6.99159501,2.479884633,13.76876935,11.90634955,6.630125516,4.502867456,9.275170119,11.41926252,7.937599814,8.281711551,11.44424532,1.766694453,9.904531975,6.514445963,4.49566955,3.377378853,7.627048117,12.14467667,9.811102272,9.083068438,6.117059911,2.685620063,7.273974684,2.243734551,7.626845062,7.796800352,8.339983757,11.64853249,4.804017664,2.697284348,10.95515084,7.845195129,5.307527936,11.48740456,3.272258951,4.356929988,11.57735105,10.10112529,3.548577083,7.450343704,7.826842444,0.412158067,6.122000326,6.588364189,7.472659794,11.85369064,2.92089693,12.94550513,10.96846408,8.065550509,2.788826143,5.037891911,0.624351003,0.412158067
9,46,31,55,7453,3,3.11E+11,Block Group 3,G5030,S,476649,0,41.2083134,-96.1621839,0.030101662,5.12E-05,15000US310550074533,5.82721,7.790152865,11.85644139,10.59243246,2.835831196,12.4943082,8.03142568,11.10044631,9.510801421,3.608394217,9.057449032,6.199970173,13.38623307,13.27728437,9.580860744,2.2658606,3.827860213,10.64244846,4.191985632,8.721243121,8.987501921,7.70566295,2.091735074,6.809993118,13.74454867,13.41897625,10.23831735,6.58254089,11.28324123,3.871619901,1.621868882,7.379705548,7.856999761,5.761365856,2.336560991,2.776917025,11.08513386,3.263839163,9.076472345,1.112189953,7.939411786,6.040225874,7.497475257,4.585455126,1.684101714,5.570088279,8.688939723,5.135113175,12.04109017,3.328479078,12.44996873,6.873923826,6.322930475,11.10588305,2.441616721,10.51630774,7.976680644,5.794345736,2.765201178,5.385732888,2.231547529,7.465586936,7.607395018,1.304372253,13.02012195,8.852568621,5.739271507,6.200666482,10.15506818,8.923262706,7.642498238,12.30504067,2.520532133,7.597969022,4.585813931,5.868577412,2.53734711,10.87665096,6.011311607,11.03338988,1.112189953
10,47,31,55,7466,4,3.11E+11,Block Group 4,G5030,S,263580,0,41.2039934,-96.0676609,0.029487636,2.83E-05,15000US310550074664,8.531895304,4.020413615,7.152074228,5.717773836,3.558976704,8.909623839,6.025488253,6.756430065,6.914631895,2.718962119,7.383253779,6.672151105,10.20376378,8.566506986,5.306460974,6.543481349,6.147866162,7.480259389,0.737609555,3.836959866,4.288896401,5.557584777,4.319849421,5.708406466,9.133022178,10.2550538,6.243567897,2.338104838,6.541824655,8.726829472,5.962082249,2.901789698,5.778629765,7.287885949,6.693710979,3.460372709,6.723406595,7.21306654,4.655103251,3.998635137,7.139277455,2.253279495,4.384350983,5.084010219,6.587638288,7.518315534,5.170644597,0.239028353,7.326725861,1.832187942,7.937254261,2.984524163,6.679244198,6.75778298,6.890208428,8.305727305,4.447382931,8.385434735,2.26292622,3.09826624,6.679765053,4.188213546,5.400800548,5.663877644,8.829695552,3.981736779,1.947959739,6.604535876,6.079325111,7.710235206,3.135394887,7.596428415,7.051578523,3.59895006,6.600753835,8.439076587,2.468783807,7.699067249,3.918109401,6.744176274,0.239028353
